TimeStep,T_avancement,T_affichage,T_total
65,0.00245749,0.0297636,0.0322214
66,0.034914,0.0260289,0.0609434
67,0.00360688,0.0273424,0.0309498
68,0.00235746,0.0276274,0.0299849
69,0.00240913,0.0279095,0.0303188
70,0.00238305,0.0277686,0.0301518
71,0.00263181,0.0271036,0.0297359
72,0.00249451,0.0269467,0.0294417
73,0.00277268,0.0271628,0.0299359
74,0.00268621,0.0277949,0.0304818
75,0.00253841,0.0278666,0.0304055
76,0.00296745,0.0279818,0.0309494
77,0.0030558,0.0293944,0.0324509
78,0.00786824,0.034785,0.0426537
79,0.00815294,0.035587,0.0437401
80,0.00297145,0.034421,0.0373926
81,0.00324526,0.0329469,0.0361923
82,0.00605759,0.03248,0.0385379
83,0.00348139,0.0331737,0.0366553
84,0.0034079,0.035341,0.0387491
85,0.00364676,0.0351826,0.0388515
86,0.0069858,0.0352219,0.0422084
87,0.0323497,0.0353317,0.0676816
88,0.00371214,0.0346354,0.0383478
89,0.00597696,0.03661,0.0425872
90,0.00432035,0.0365255,0.040846
91,0.0142245,0.0339105,0.0481352
92,0.00702255,0.034054,0.0410769
93,0.0065919,0.0344592,0.0410514
94,0.0251232,0.0327338,0.0578572
95,0.00437053,0.0351071,0.0394781
96,0.00408672,0.0345298,0.0386651
97,0.00807184,0.0339855,0.0420578
98,0.00435108,0.0287506,0.0331023
99,0.00437092,0.0287066,0.0330782
100,0.0124906,0.0274624,0.0399532
101,0.00536756,0.0271591,0.032527
102,0.0127524,0.0279113,0.0406642
103,0.0402214,0.0260193,0.0662413
104,0.00446946,0.0270447,0.0315146
105,0.0045958,0.0269087,0.0315052
106,0.0479743,0.0259161,0.0738908
107,0.00484648,0.0332142,0.0380611
108,0.0518094,0.029822,0.0816321
109,0.00528488,0.0290208,0.0343061
110,0.00623448,0.0265752,0.0328103
111,0.00537723,0.0275358,0.0329131
112,0.00532209,0.027537,0.0328593
113,0.0124551,0.0300535,0.0425088
114,0.00554555,0.0269861,0.032532
115,0.00598372,0.0268703,0.0328542
116,0.00549869,0.0269334,0.0324325
117,0.00560724,0.0265721,0.0321797
118,0.0055707,0.0268903,0.0324614
119,0.00562027,0.026885,0.0325054
120,0.00584197,0.0268855,0.0327279
121,0.0061069,0.0270901,0.0331974
122,0.00590439,0.0269167,0.0328213
123,0.00658698,0.026993,0.0335801
124,0.00609056,0.0266903,0.032781
125,0.00610314,0.0267753,0.0328789
126,0.00621291,0.027043,0.0332561
127,0.00607653,0.0277359,0.0338126
128,0.0094986,0.0350365,0.0445695
129,0.00713117,0.0291543,0.0362857
130,0.00804745,0.026961,0.0350089
131,0.00720951,0.0267776,0.0339873
132,0.00699439,0.0269129,0.0339077
133,0.0486885,0.0258172,0.074506
134,0.00692269,0.027852,0.0347751
135,0.0114664,0.0261071,0.0375739
136,0.0455112,0.0258523,0.0713636
137,0.00752714,0.0266257,0.034153
138,0.00734907,0.026631,0.0339804
139,0.00718475,0.0275856,0.0347705
140,0.00867606,0.0302633,0.0389395
141,0.00877211,0.026529,0.0353014
142,0.00841145,0.0273031,0.0357152
143,0.00745695,0.0268938,0.0343509
144,0.00767723,0.0267679,0.0344454
145,0.00777896,0.0267738,0.0345532
146,0.00767278,0.0266887,0.0343619
147,0.0080015,0.0269602,0.0349618
148,0.00842057,0.0299631,0.0383838
149,0.0173863,0.027648,0.0450344
150,0.00887021,0.0267334,0.035604
151,0.00796413,0.0276474,0.0356117
152,0.00911544,0.0272087,0.0363246
153,0.00858611,0.0326992,0.0412858
154,0.00855896,0.0270336,0.0355929
155,0.00815796,0.0280712,0.0362296
156,0.00978003,0.027678,0.0374582
